               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.044548,            0.055556,           0.0083629,             0.72052,             0.54071,             0.60738,             0.36885,              0.0421,            0.043819,           0.0074637,            0.006535,            0.006535,            0.006535
                  37,            0.044505,            0.055272,           0.0084554,             0.73061,             0.53053,              0.6073,             0.37109,            0.042002,            0.043739,           0.0073838,            0.006436,            0.006436,            0.006436
                  38,            0.044484,            0.056016,           0.0084336,             0.72293,             0.53632,             0.61183,             0.37353,            0.041943,             0.04367,           0.0073802,            0.006337,            0.006337,            0.006337
                  39,            0.044361,               0.056,           0.0082634,             0.71407,             0.54892,             0.61007,             0.37386,            0.041912,             0.04366,           0.0074301,            0.006238,            0.006238,            0.006238
                  40,            0.044261,            0.055396,           0.0082391,             0.72816,             0.54433,             0.61551,             0.37722,            0.041811,            0.043599,           0.0073212,            0.006139,            0.006139,            0.006139
                  41,            0.044022,            0.054337,           0.0080704,             0.74457,             0.53982,              0.6172,             0.37809,            0.041758,             0.04357,           0.0072788,             0.00604,             0.00604,             0.00604
                  42,              0.0441,            0.055185,           0.0080684,             0.74596,             0.53648,              0.6149,             0.37895,            0.041692,             0.04355,           0.0072712,            0.005941,            0.005941,            0.005941
                  43,            0.044113,            0.054946,           0.0082722,             0.73061,             0.53879,             0.61269,             0.37858,            0.041691,            0.043577,           0.0073347,            0.005842,            0.005842,            0.005842
                  44,            0.043963,            0.055071,            0.007914,             0.73798,             0.53907,              0.6143,             0.37788,            0.041676,             0.04358,           0.0073361,            0.005743,            0.005743,            0.005743
                  45,            0.043955,            0.054878,           0.0079015,             0.73857,             0.54433,             0.61751,             0.37774,            0.041677,             0.04356,           0.0073945,            0.005644,            0.005644,            0.005644
                  46,            0.043754,            0.054499,           0.0079391,             0.72935,             0.54351,              0.6164,             0.37844,            0.041665,            0.043534,           0.0073936,            0.005545,            0.005545,            0.005545
                  47,            0.043706,            0.054897,           0.0077898,             0.72042,             0.54503,             0.61511,             0.37901,            0.041643,            0.043538,           0.0073483,            0.005446,            0.005446,            0.005446
                  48,            0.043709,            0.054719,           0.0078689,             0.73208,              0.5427,              0.6161,             0.38006,            0.041626,            0.043529,           0.0073086,            0.005347,            0.005347,            0.005347
                  49,            0.043398,            0.054279,           0.0077049,             0.72957,             0.54507,             0.61591,             0.38147,            0.041593,            0.043514,           0.0073117,            0.005248,            0.005248,            0.005248
                  50,            0.043347,            0.053597,           0.0075941,             0.73049,             0.54608,             0.61845,             0.38218,            0.041564,            0.043495,           0.0073104,            0.005149,            0.005149,            0.005149
                  51,            0.043286,            0.054132,           0.0077091,             0.73091,             0.54892,             0.62046,             0.38346,            0.041526,            0.043468,           0.0072766,             0.00505,             0.00505,             0.00505
                  52,            0.043437,             0.05452,           0.0076982,             0.73597,             0.54947,             0.62149,             0.38354,            0.041505,            0.043481,           0.0072629,            0.004951,            0.004951,            0.004951
                  53,            0.043297,            0.054361,           0.0076867,             0.73722,             0.54951,             0.62133,             0.38458,            0.041478,            0.043483,           0.0072469,            0.004852,            0.004852,            0.004852
                  54,             0.04314,            0.053483,           0.0075209,             0.74611,             0.54439,             0.62064,             0.38377,            0.041468,            0.043491,           0.0072724,            0.004753,            0.004753,            0.004753
                  55,            0.043113,            0.053864,           0.0074867,             0.74034,             0.54717,             0.62064,             0.38407,            0.041464,            0.043489,           0.0072775,            0.004654,            0.004654,            0.004654
                  56,            0.043037,            0.054247,           0.0074675,             0.73919,             0.54957,             0.62048,             0.38416,            0.041456,            0.043485,           0.0072707,            0.004555,            0.004555,            0.004555
                  57,            0.042933,            0.053513,           0.0074164,             0.74415,             0.54843,             0.62162,             0.38448,            0.041444,            0.043473,           0.0072642,            0.004456,            0.004456,            0.004456
                  58,            0.042855,            0.053256,           0.0073274,             0.74203,             0.54977,             0.62141,             0.38453,            0.041446,            0.043471,           0.0072818,            0.004357,            0.004357,            0.004357
                  59,             0.04291,            0.053584,           0.0073153,             0.74941,             0.54763,             0.62147,             0.38439,            0.041434,            0.043472,           0.0072744,            0.004258,            0.004258,            0.004258
                  60,            0.042733,             0.05267,           0.0072629,             0.75394,             0.54667,             0.62235,             0.38462,            0.041422,            0.043463,           0.0072742,            0.004159,            0.004159,            0.004159
                  61,            0.042509,            0.052708,           0.0071975,             0.74909,             0.55088,             0.62285,             0.38479,            0.041416,             0.04346,           0.0072854,             0.00406,             0.00406,             0.00406
                  62,            0.042539,            0.053433,           0.0072317,             0.74679,             0.55159,             0.62273,             0.38468,            0.041409,            0.043456,           0.0072954,            0.003961,            0.003961,            0.003961
                  63,            0.042544,            0.053091,           0.0070776,             0.74643,             0.55285,             0.62271,             0.38486,            0.041403,            0.043454,           0.0073051,            0.003862,            0.003862,            0.003862
                  64,            0.042346,            0.052936,           0.0070506,              0.7482,             0.55442,             0.62304,             0.38543,            0.041395,             0.04345,           0.0073097,            0.003763,            0.003763,            0.003763
                  65,            0.042424,            0.052868,           0.0069885,             0.74947,             0.55218,             0.62236,              0.3853,            0.041387,             0.04345,           0.0073206,            0.003664,            0.003664,            0.003664
                  66,            0.042304,            0.052778,           0.0069135,             0.75339,              0.5504,             0.62225,             0.38566,            0.041379,            0.043451,           0.0073265,            0.003565,            0.003565,            0.003565
                  67,            0.042129,            0.052278,           0.0070138,             0.75724,             0.54822,              0.6219,             0.38528,            0.041375,            0.043458,           0.0073349,            0.003466,            0.003466,            0.003466
                  68,            0.042152,            0.052307,           0.0070202,             0.75417,             0.54894,             0.62199,             0.38535,            0.041368,            0.043466,           0.0073346,            0.003367,            0.003367,            0.003367
